Reference, Value, Footprint, Datasheet
"U3","AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
"J1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C2","100nF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C1","1000uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C8","1000uF x 6.3v","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J2","LEFT OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J4","RIGHT OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C7","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"R3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C10","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"JP1","Jumper_NO_Small","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"JP3","Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"U2","ESP32-WROVER_E","esp32-wrover:ESP32-WROVER(EDIT)",""
"U4","PCM5100","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/pcm5100.pdf"
"R5","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C17","2.2nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C11","2.2u","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"R4","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C12","2.2u","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"C13","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C14","2.2nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C15","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"R6","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","500","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C18","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"JP2","Jumper","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"C5","0.47uF","Capacitor_THT:C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT","~"
"C6","0.47uF","Capacitor_THT:C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT","~"
"U1","TDA7496","Package_TO_SOT_THT:TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical","http://www.st.com/resource/en/datasheet/tda7297.pdf"
"C9","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
"C16","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
"C19","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
